2025-09-20 18:28:03 - ROBOTY.main - INFO - Запуск приложения ROBOTY
2025-09-20 18:28:03 - ROBOTY.main - INFO - Применена тема: light
2025-09-20 18:28:03 - ROBOTY.main - INFO - Интерфейс инициализирован
2025-09-20 18:28:03 - ROBOTY.main - INFO - Приложение успешно запущено
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 39 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 40 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 41 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 42 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 43 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 44 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 45 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 46 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 47 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 48 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 49 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 50 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 51 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 52 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 53 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 54 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 55 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 56 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 57 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 58 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 59 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 60 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 61 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 62 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 63 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 64 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 65 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 66 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 67 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 68 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 69 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 70 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 71 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 72 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 73 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 74 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 75 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 76 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 77 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 78 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 79 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 80 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 81 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 82 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 83 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 84 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 85 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 86 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 87 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 88 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 89 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 90 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 91 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 92 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 93 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 94 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 95 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 96 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 97 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 98 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 99 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 100 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 1 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 2 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 3 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 4 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 5 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 6 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 7 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 8 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 9 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 10 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 11 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 12 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 13 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 14 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 15 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 16 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 17 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 18 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 19 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 20 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 21 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 22 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 23 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 24 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 25 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 26 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 27 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 28 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 29 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Операция 30 успешно загружена
2025-09-20 18:28:09 - ROBOTY.parser - INFO - Загружено 100 роботов и 30 операций
2025-09-20 18:28:10 - ROBOTY.main - INFO - Запуск планировщика
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Запуск планировщика траекторий
2025-09-20 18:28:10 - ROBOTY.assigner - INFO - Начинаем назначение операций методом: balanced
2025-09-20 18:28:10 - ROBOTY.assigner - WARNING - Операций (30) меньше или равно количеству роботов (100)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 0 назначена роботу 0 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 1 назначена роботу 1 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 2 назначена роботу 2 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 3 назначена роботу 3 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 4 назначена роботу 4 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 5 назначена роботу 5 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 6 назначена роботу 6 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 7 назначена роботу 7 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 8 назначена роботу 8 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 9 назначена роботу 9 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 10 назначена роботу 10 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 11 назначена роботу 11 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 12 назначена роботу 12 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 13 назначена роботу 13 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 14 назначена роботу 14 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 15 назначена роботу 15 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 16 назначена роботу 16 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 17 назначена роботу 17 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 18 назначена роботу 18 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 19 назначена роботу 19 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 20 назначена роботу 20 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 21 назначена роботу 21 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 22 назначена роботу 22 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 23 назначена роботу 23 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 24 назначена роботу 24 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 25 назначена роботу 25 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 26 назначена роботу 26 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 27 назначена роботу 27 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 28 назначена роботу 28 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.assigner - DEBUG - Операция 29 назначена роботу 29 (принудительное назначение)
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Операции назначены методом: balanced
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 1 (ID: 1) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.98
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.98
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 1: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 2 (ID: 2) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.07
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.07
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 2: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 3 (ID: 3) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.43
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.43
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 3: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 4 (ID: 4) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.58
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.58
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 4: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 5 (ID: 5) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.69
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.69
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 5: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 6 (ID: 6) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.39
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.39
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 6: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 7 (ID: 7) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.42
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.42
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 7: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 8 (ID: 8) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.46
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.46
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 8: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 9 (ID: 9) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.93
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.93
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 9: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 10 (ID: 10) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.59
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.59
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 10: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 11 (ID: 11) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.19
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.19
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 11: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 12 (ID: 12) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.85
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.85
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 12: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 13 (ID: 13) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 5.72
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 5.72
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 13: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 14 (ID: 14) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.00
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.00
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 14: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 15 (ID: 15) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.72
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.72
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 15: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 16 (ID: 16) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.39
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.39
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 16: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 17 (ID: 17) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 2.85
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 2.85
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 17: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 18 (ID: 18) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.91
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.91
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 18: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 19 (ID: 19) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 2.99
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 2.99
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 19: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 20 (ID: 20) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.65
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.65
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 20: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 21 (ID: 21) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.50
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.50
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 21: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 22 (ID: 22) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.66
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.66
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 22: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 23 (ID: 23) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 4.11
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 4.11
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Робот 23: траектория содержит 24 точек
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Планирование траектории для робота 24 (ID: 24) с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Планирование траектории для робота с 1 операциями
2025-09-20 18:28:10 - ROBOTY.planner - DEBUG - Операция 1 запланирована, время завершения: 3.22
2025-09-20 18:28:10 - ROBOTY.planner - INFO - Траектория робота запланирована, общее время: 3.22
